participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.period_number,player.subperiod_time,player.transport_cost,player.loc,player.price,player.boundary_lo,player.boundary_hi,player.round_payoff,player.cumulative_round_payoff,player.paid_period,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,9ammaqeh,LEEPS_8,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.727109+00:00,0,1,,,2,15,7,0.5,0.75,0.33,0.0,1.0,0.00825,0.33,,0.00,3,9,qh6mfn23,,,,,,,,0
3,l16nocwq,LEEPS_4,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.781142+00:00,0,1,,,1,15,7,0.5,0.25,0.17,0.0,1.0,0.00425,0.17,,0.00,6,9,qh6mfn23,,,,,,,,0
4,kx65ol83,LEEPS_7,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.821896+00:00,0,1,,,1,15,7,0.5,0.25,0.45,0.0,0.0,0.0,0.0,,0.00,4,9,qh6mfn23,,,,,,,,0
5,d8mzinbk,LEEPS_3,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.858731+00:00,0,1,,,2,15,7,0.5,0.75,0.53,0.0,1.0,0.01325,0.53,,0.00,5,9,qh6mfn23,,,,,,,,0
6,byof27u9,LEEPS_5,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.869633+00:00,0,1,,,1,15,7,0.5,0.25,0.35,0.0,1.0,0.00875,0.35,,0.00,1,9,qh6mfn23,,,,,,,,0
7,1jxs13op,LEEPS_11,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.937325+00:00,0,1,,,2,15,7,0.5,0.75,0.65,0.0,0.0,0.0,0.0,,0.00,1,9,qh6mfn23,,,,,,,,0
8,v2yxj81r,LEEPS_12,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:45.978662+00:00,0,1,,,1,15,7,0.5,0.25,0.52,0.0,0.3,0.0039,0.156,,0.00,2,9,qh6mfn23,,,,,,,,0
9,xw9em24f,LEEPS_1,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.080554+00:00,0,1,,,1,15,7,0.5,0.25,0.88,0.0,0.0,0.0,0.0,,0.00,5,9,qh6mfn23,,,,,,,,0
10,46lgdkac,LEEPS_2,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.149940+00:00,0,1,,,2,15,7,0.5,0.75,0.54,0.0,0.0,0.0,0.0,,0.00,6,9,qh6mfn23,,,,,,,,0
11,hqhun51p,LEEPS_9,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.454996+00:00,0,1,,,1,15,7,0.5,0.25,0.64,0.0,0.0,0.0,0.0,,0.00,3,9,qh6mfn23,,,,,,,,0
12,pqblukh4,LEEPS_10,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:12:28.240778+00:00,0,1,,,2,15,7,0.5,0.75,0.06,0.0,1.0,0.0015,0.06,,0.00,4,9,qh6mfn23,,,,,,,,0
1,rcdcnycy,LEEPS_6,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.644512+00:00,0,1,,,2,15,7,0.5,0.75,0.32,0.3,1.0,0.0056,0.224,,0.00,2,10,qh6mfn23,,,,,,,,0
2,9ammaqeh,LEEPS_8,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.727109+00:00,0,1,,,2,15,7,0.5,0.75,0.33,0.0,1.0,0.00825,0.33,,0.00,3,10,qh6mfn23,,,,,,,,0
3,l16nocwq,LEEPS_4,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.781142+00:00,0,1,,,1,15,7,0.5,0.25,0.17,0.0,1.0,0.00425,0.17,,0.00,6,10,qh6mfn23,,,,,,,,0
4,kx65ol83,LEEPS_7,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.821896+00:00,0,1,,,1,15,7,0.5,0.25,0.45,0.0,0.0,0.0,0.0,,0.00,4,10,qh6mfn23,,,,,,,,0
5,d8mzinbk,LEEPS_3,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.858731+00:00,0,1,,,2,15,7,0.5,0.75,0.53,0.0,1.0,0.01325,0.53,,0.00,5,10,qh6mfn23,,,,,,,,0
6,byof27u9,LEEPS_5,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.869633+00:00,0,1,,,1,15,7,0.5,0.25,0.35,0.0,1.0,0.00875,0.35,,0.00,1,10,qh6mfn23,,,,,,,,0
7,1jxs13op,LEEPS_11,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.937325+00:00,0,1,,,2,15,7,0.5,0.75,0.65,0.0,0.0,0.0,0.0,,0.00,1,10,qh6mfn23,,,,,,,,0
8,v2yxj81r,LEEPS_12,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:45.978662+00:00,0,1,,,1,15,7,0.5,0.25,0.52,0.0,0.3,0.0039,0.156,,0.00,2,10,qh6mfn23,,,,,,,,0
9,xw9em24f,LEEPS_1,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.080554+00:00,0,1,,,1,15,7,0.5,0.25,0.88,0.0,0.0,0.0,0.0,,0.00,5,10,qh6mfn23,,,,,,,,0
10,46lgdkac,LEEPS_2,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.149940+00:00,0,1,,,2,15,7,0.5,0.75,0.54,0.0,0.0,0.0,0.0,,0.00,6,10,qh6mfn23,,,,,,,,0
11,hqhun51p,LEEPS_9,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.454996+00:00,0,1,,,1,15,7,0.5,0.25,0.64,0.0,0.0,0.0,0.0,,0.00,3,10,qh6mfn23,,,,,,,,0
12,pqblukh4,LEEPS_10,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:12:28.240778+00:00,0,1,,,2,15,7,0.5,0.75,0.06,0.0,1.0,0.0015,0.06,,0.00,4,10,qh6mfn23,,,,,,,,0
1,rcdcnycy,LEEPS_6,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.644512+00:00,0,1,,,2,15,7,0.5,0.75,0.32,0.3,1.0,0.0056,0.224,,0.00,2,11,qh6mfn23,,,,,,,,0
2,9ammaqeh,LEEPS_8,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.727109+00:00,0,1,,,2,15,7,0.5,0.75,0.33,0.0,1.0,0.00825,0.33,,0.00,3,11,qh6mfn23,,,,,,,,0
3,l16nocwq,LEEPS_4,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.781142+00:00,0,1,,,1,15,7,0.5,0.25,0.17,0.0,1.0,0.00425,0.17,,0.00,6,11,qh6mfn23,,,,,,,,0
4,kx65ol83,LEEPS_7,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.821896+00:00,0,1,,,1,15,7,0.5,0.25,0.45,0.0,0.0,0.0,0.0,,0.00,4,11,qh6mfn23,,,,,,,,0
5,d8mzinbk,LEEPS_3,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.858731+00:00,0,1,,,2,15,7,0.5,0.75,0.53,0.0,1.0,0.01325,0.53,,0.00,5,11,qh6mfn23,,,,,,,,0
6,byof27u9,LEEPS_5,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.869633+00:00,0,1,,,1,15,7,0.5,0.25,0.35,0.0,1.0,0.00875,0.35,,0.00,1,11,qh6mfn23,,,,,,,,0
7,1jxs13op,LEEPS_11,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.937325+00:00,0,1,,,2,15,7,0.5,0.75,0.65,0.0,0.0,0.0,0.0,,0.00,1,11,qh6mfn23,,,,,,,,0
8,v2yxj81r,LEEPS_12,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:45.978662+00:00,0,1,,,1,15,7,0.5,0.25,0.52,0.0,0.3,0.0039,0.156,,0.00,2,11,qh6mfn23,,,,,,,,0
9,xw9em24f,LEEPS_1,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.080554+00:00,0,1,,,1,15,7,0.5,0.25,0.88,0.0,0.0,0.0,0.0,,0.00,5,11,qh6mfn23,,,,,,,,0
10,46lgdkac,LEEPS_2,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.149940+00:00,0,1,,,2,15,7,0.5,0.75,0.54,0.0,0.0,0.0,0.0,,0.00,6,11,qh6mfn23,,,,,,,,0
11,hqhun51p,LEEPS_9,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.454996+00:00,0,1,,,1,15,7,0.5,0.25,0.64,0.0,0.0,0.0,0.0,,0.00,3,11,qh6mfn23,,,,,,,,0
12,pqblukh4,LEEPS_10,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:12:28.240778+00:00,0,1,,,2,15,7,0.5,0.75,0.06,0.0,1.0,0.0015,0.06,,0.00,4,11,qh6mfn23,,,,,,,,0
1,rcdcnycy,LEEPS_6,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.644512+00:00,0,1,,,2,15,7,0.5,0.75,0.32,0.3,1.0,0.0056,0.224,,0.00,2,12,qh6mfn23,,,,,,,,0
2,9ammaqeh,LEEPS_8,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.727109+00:00,0,1,,,2,15,7,0.5,0.75,0.33,0.0,1.0,0.00825,0.33,,0.00,3,12,qh6mfn23,,,,,,,,0
3,l16nocwq,LEEPS_4,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.781142+00:00,0,1,,,1,15,7,0.5,0.25,0.17,0.0,1.0,0.00425,0.17,,0.00,6,12,qh6mfn23,,,,,,,,0
4,kx65ol83,LEEPS_7,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.821896+00:00,0,1,,,1,15,7,0.5,0.25,0.45,0.0,0.0,0.0,0.0,,0.00,4,12,qh6mfn23,,,,,,,,0
5,d8mzinbk,LEEPS_3,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.858731+00:00,0,1,,,2,15,7,0.5,0.75,0.53,0.0,1.0,0.01325,0.53,,0.00,5,12,qh6mfn23,,,,,,,,0
6,byof27u9,LEEPS_5,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.869633+00:00,0,1,,,1,15,7,0.5,0.25,0.35,0.0,1.0,0.00875,0.35,,0.00,1,12,qh6mfn23,,,,,,,,0
7,1jxs13op,LEEPS_11,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.937325+00:00,0,1,,,2,15,7,0.5,0.75,0.65,0.0,0.0,0.0,0.0,,0.00,1,12,qh6mfn23,,,,,,,,0
8,v2yxj81r,LEEPS_12,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:45.978662+00:00,0,1,,,1,15,7,0.5,0.25,0.52,0.0,0.3,0.0039,0.156,,0.00,2,12,qh6mfn23,,,,,,,,0
9,xw9em24f,LEEPS_1,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.080554+00:00,0,1,,,1,15,7,0.5,0.25,0.88,0.0,0.0,0.0,0.0,,0.00,5,12,qh6mfn23,,,,,,,,0
10,46lgdkac,LEEPS_2,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.149940+00:00,0,1,,,2,15,7,0.5,0.75,0.54,0.0,0.0,0.0,0.0,,0.00,6,12,qh6mfn23,,,,,,,,0
11,hqhun51p,LEEPS_9,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.454996+00:00,0,1,,,1,15,7,0.5,0.25,0.64,0.0,0.0,0.0,0.0,,0.00,3,12,qh6mfn23,,,,,,,,0
12,pqblukh4,LEEPS_10,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:12:28.240778+00:00,0,1,,,2,15,7,0.5,0.75,0.06,0.0,1.0,0.0015,0.06,,0.00,4,12,qh6mfn23,,,,,,,,0
1,rcdcnycy,LEEPS_6,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.644512+00:00,0,1,,,2,15,7,0.5,0.75,0.32,0.3,1.0,0.0056,0.224,,0.00,2,13,qh6mfn23,,,,,,,,0
2,9ammaqeh,LEEPS_8,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.727109+00:00,0,1,,,2,15,7,0.5,0.75,0.33,0.0,1.0,0.00825,0.33,,0.00,3,13,qh6mfn23,,,,,,,,0
3,l16nocwq,LEEPS_4,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.781142+00:00,0,1,,,1,15,7,0.5,0.25,0.17,0.0,1.0,0.00425,0.17,,0.00,6,13,qh6mfn23,,,,,,,,0
4,kx65ol83,LEEPS_7,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.821896+00:00,0,1,,,1,15,7,0.5,0.25,0.45,0.0,0.0,0.0,0.0,,0.00,4,13,qh6mfn23,,,,,,,,0
5,d8mzinbk,LEEPS_3,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.858731+00:00,0,1,,,2,15,7,0.5,0.75,0.53,0.0,1.0,0.01325,0.53,,0.00,5,13,qh6mfn23,,,,,,,,0
6,byof27u9,LEEPS_5,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.869633+00:00,0,1,,,1,15,7,0.5,0.25,0.35,0.0,1.0,0.00875,0.35,,0.00,1,13,qh6mfn23,,,,,,,,0
7,1jxs13op,LEEPS_11,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.937325+00:00,0,1,,,2,15,7,0.5,0.75,0.65,0.0,0.0,0.0,0.0,,0.00,1,13,qh6mfn23,,,,,,,,0
8,v2yxj81r,LEEPS_12,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:45.978662+00:00,0,1,,,1,15,7,0.5,0.25,0.52,0.0,0.3,0.0039,0.156,,0.00,2,13,qh6mfn23,,,,,,,,0
9,xw9em24f,LEEPS_1,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.080554+00:00,0,1,,,1,15,7,0.5,0.25,0.88,0.0,0.0,0.0,0.0,,0.00,5,13,qh6mfn23,,,,,,,,0
10,46lgdkac,LEEPS_2,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.149940+00:00,0,1,,,2,15,7,0.5,0.75,0.54,0.0,0.0,0.0,0.0,,0.00,6,13,qh6mfn23,,,,,,,,0
11,hqhun51p,LEEPS_9,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.454996+00:00,0,1,,,1,15,7,0.5,0.25,0.64,0.0,0.0,0.0,0.0,,0.00,3,13,qh6mfn23,,,,,,,,0
12,pqblukh4,LEEPS_10,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:12:28.240778+00:00,0,1,,,2,15,7,0.5,0.75,0.06,0.0,1.0,0.0015,0.06,,0.00,4,13,qh6mfn23,,,,,,,,0
1,rcdcnycy,LEEPS_6,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.644512+00:00,0,1,,,2,15,7,0.5,0.75,0.32,0.3,1.0,0.0056,0.224,,0.00,2,14,qh6mfn23,,,,,,,,0
2,9ammaqeh,LEEPS_8,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.727109+00:00,0,1,,,2,15,7,0.5,0.75,0.33,0.0,1.0,0.00825,0.33,,0.00,3,14,qh6mfn23,,,,,,,,0
3,l16nocwq,LEEPS_4,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.781142+00:00,0,1,,,1,15,7,0.5,0.25,0.17,0.0,1.0,0.00425,0.17,,0.00,6,14,qh6mfn23,,,,,,,,0
4,kx65ol83,LEEPS_7,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.821896+00:00,0,1,,,1,15,7,0.5,0.25,0.45,0.0,0.0,0.0,0.0,,0.00,4,14,qh6mfn23,,,,,,,,0
5,d8mzinbk,LEEPS_3,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.858731+00:00,0,1,,,2,15,7,0.5,0.75,0.53,0.0,1.0,0.01325,0.53,,0.00,5,14,qh6mfn23,,,,,,,,0
6,byof27u9,LEEPS_5,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.869633+00:00,0,1,,,1,15,7,0.5,0.25,0.35,0.0,1.0,0.00875,0.35,,0.00,1,14,qh6mfn23,,,,,,,,0
7,1jxs13op,LEEPS_11,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.937325+00:00,0,1,,,2,15,7,0.5,0.75,0.65,0.0,0.0,0.0,0.0,,0.00,1,14,qh6mfn23,,,,,,,,0
8,v2yxj81r,LEEPS_12,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:45.978662+00:00,0,1,,,1,15,7,0.5,0.25,0.52,0.0,0.3,0.0039,0.156,,0.00,2,14,qh6mfn23,,,,,,,,0
9,xw9em24f,LEEPS_1,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.080554+00:00,0,1,,,1,15,7,0.5,0.25,0.88,0.0,0.0,0.0,0.0,,0.00,5,14,qh6mfn23,,,,,,,,0
10,46lgdkac,LEEPS_2,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.149940+00:00,0,1,,,2,15,7,0.5,0.75,0.54,0.0,0.0,0.0,0.0,,0.00,6,14,qh6mfn23,,,,,,,,0
11,hqhun51p,LEEPS_9,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.454996+00:00,0,1,,,1,15,7,0.5,0.25,0.64,0.0,0.0,0.0,0.0,,0.00,3,14,qh6mfn23,,,,,,,,0
12,pqblukh4,LEEPS_10,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:12:28.240778+00:00,0,1,,,2,15,7,0.5,0.75,0.06,0.0,1.0,0.0015,0.06,,0.00,4,14,qh6mfn23,,,,,,,,0
1,rcdcnycy,LEEPS_6,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.644512+00:00,0,1,,,2,15,7,0.5,0.75,0.32,0.3,1.0,0.0056,0.224,,0.00,2,15,qh6mfn23,,,,,,,,0
2,9ammaqeh,LEEPS_8,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.727109+00:00,0,1,,,2,15,7,0.5,0.75,0.33,0.0,1.0,0.00825,0.33,,0.00,3,15,qh6mfn23,,,,,,,,0
3,l16nocwq,LEEPS_4,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.781142+00:00,0,1,,,1,15,7,0.5,0.25,0.17,0.0,1.0,0.00425,0.17,,0.00,6,15,qh6mfn23,,,,,,,,0
4,kx65ol83,LEEPS_7,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.821896+00:00,0,1,,,1,15,7,0.5,0.25,0.45,0.0,0.0,0.0,0.0,,0.00,4,15,qh6mfn23,,,,,,,,0
5,d8mzinbk,LEEPS_3,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.858731+00:00,0,1,,,2,15,7,0.5,0.75,0.53,0.0,1.0,0.01325,0.53,,0.00,5,15,qh6mfn23,,,,,,,,0
6,byof27u9,LEEPS_5,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.869633+00:00,0,1,,,1,15,7,0.5,0.25,0.35,0.0,1.0,0.00875,0.35,,0.00,1,15,qh6mfn23,,,,,,,,0
7,1jxs13op,LEEPS_11,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.937325+00:00,0,1,,,2,15,7,0.5,0.75,0.65,0.0,0.0,0.0,0.0,,0.00,1,15,qh6mfn23,,,,,,,,0
8,v2yxj81r,LEEPS_12,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:45.978662+00:00,0,1,,,1,15,7,0.5,0.25,0.52,0.0,0.3,0.0039,0.156,,0.00,2,15,qh6mfn23,,,,,,,,0
9,xw9em24f,LEEPS_1,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.080554+00:00,0,1,,,1,15,7,0.5,0.25,0.88,0.0,0.0,0.0,0.0,,0.00,5,15,qh6mfn23,,,,,,,,0
10,46lgdkac,LEEPS_2,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.149940+00:00,0,1,,,2,15,7,0.5,0.75,0.54,0.0,0.0,0.0,0.0,,0.00,6,15,qh6mfn23,,,,,,,,0
11,hqhun51p,LEEPS_9,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.454996+00:00,0,1,,,1,15,7,0.5,0.25,0.64,0.0,0.0,0.0,0.0,,0.00,3,15,qh6mfn23,,,,,,,,0
12,pqblukh4,LEEPS_10,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:12:28.240778+00:00,0,1,,,2,15,7,0.5,0.75,0.06,0.0,1.0,0.0015,0.06,,0.00,4,15,qh6mfn23,,,,,,,,0
1,rcdcnycy,LEEPS_6,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.644512+00:00,0,1,,,2,15,7,0.5,0.75,0.32,0.3,1.0,0.0056,0.224,,0.00,2,16,qh6mfn23,,,,,,,,0
2,9ammaqeh,LEEPS_8,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.727109+00:00,0,1,,,2,15,7,0.5,0.75,0.33,0.0,1.0,0.00825,0.33,,0.00,3,16,qh6mfn23,,,,,,,,0
3,l16nocwq,LEEPS_4,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.781142+00:00,0,1,,,1,15,7,0.5,0.25,0.17,0.0,1.0,0.00425,0.17,,0.00,6,16,qh6mfn23,,,,,,,,0
4,kx65ol83,LEEPS_7,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.821896+00:00,0,1,,,1,15,7,0.5,0.25,0.45,0.0,0.0,0.0,0.0,,0.00,4,16,qh6mfn23,,,,,,,,0
5,d8mzinbk,LEEPS_3,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.858731+00:00,0,1,,,2,15,7,0.5,0.75,0.53,0.0,1.0,0.01325,0.53,,0.00,5,16,qh6mfn23,,,,,,,,0
6,byof27u9,LEEPS_5,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.869633+00:00,0,1,,,1,15,7,0.5,0.25,0.35,0.0,1.0,0.00875,0.35,,0.00,1,16,qh6mfn23,,,,,,,,0
7,1jxs13op,LEEPS_11,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.937325+00:00,0,1,,,2,15,7,0.5,0.75,0.65,0.0,0.0,0.0,0.0,,0.00,1,16,qh6mfn23,,,,,,,,0
8,v2yxj81r,LEEPS_12,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:45.978662+00:00,0,1,,,1,15,7,0.5,0.25,0.52,0.0,0.3,0.0039,0.156,,0.00,2,16,qh6mfn23,,,,,,,,0
9,xw9em24f,LEEPS_1,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.080554+00:00,0,1,,,1,15,7,0.5,0.25,0.88,0.0,0.0,0.0,0.0,,0.00,5,16,qh6mfn23,,,,,,,,0
10,46lgdkac,LEEPS_2,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.149940+00:00,0,1,,,2,15,7,0.5,0.75,0.54,0.0,0.0,0.0,0.0,,0.00,6,16,qh6mfn23,,,,,,,,0
11,hqhun51p,LEEPS_9,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:46.454996+00:00,0,1,,,1,15,7,0.5,0.25,0.64,0.0,0.0,0.0,0.0,,0.00,3,16,qh6mfn23,,,,,,,,0
12,pqblukh4,LEEPS_10,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:12:28.240778+00:00,0,1,,,2,15,7,0.5,0.75,0.06,0.0,1.0,0.0015,0.06,,0.00,4,16,qh6mfn23,,,,,,,,0
1,rcdcnycy,LEEPS_6,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.644512+00:00,0,1,,,2,15,7,0.5,0.75,0.32,0.3,1.0,0.0056,0.224,,0.00,2,17,qh6mfn23,,,,,,,,0
2,9ammaqeh,LEEPS_8,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.727109+00:00,0,1,,,2,15,7,0.5,0.75,0.33,0.0,1.0,0.00825,0.33,,0.00,3,17,qh6mfn23,,,,,,,,0
3,l16nocwq,LEEPS_4,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.781142+00:00,0,1,,,1,15,7,0.5,0.25,0.17,0.0,1.0,0.00425,0.17,,0.00,6,17,qh6mfn23,,,,,,,,0
4,kx65ol83,LEEPS_7,0,1534,1534,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 18:11:14.821896+00:00,0,1,,,1,15,7,0.5,0.25,0.45,0.0,0.0,0.0,0.0,,0.00,4,17,qh6mfn23,,,,,,,,0
